original_smiles,intervened_smiles,intervention_strategy,original_molecule_idx,original_prediction,intervened_prediction,prediction_difference,abs_prediction_difference,original_probability,intervened_probability,probability_difference,original_logp,intervened_logp,logp_difference
Fc1cc(ccc1)-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4ccccc4)cc32)N=C1N,fluoro_aromatic,784,0.7052066326141357,0.18486855924129486,-0.5203380733728409,0.5203380733728409,0.7052066326141357,0.18486855924129486,-0.5203380733728409,3.035800000000001,2.896700000000001,-0.1391
Fc1c2c(ccc1)C(N=C2N)(c1cc(C#N)c(OC)c(c1)C)c1cc(ccc1)-c1cncnc1,COc1c(C)cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3ccccc32)cc1C#N,fluoro_aromatic,628,0.7057007551193237,0.3834616541862488,-0.32223910093307495,0.32223910093307495,0.7057007551193237,0.3834616541862488,-0.32223910093307495,4.482200000000003,4.343100000000002,-0.1391000000000009
Fc1ccc(cc1C#CCF)[C@]1(N=C(N)N(C)C1=O)c1cc(C)c(OC(F)F)cc1,Cc1cc([C@]2(c3cccc(C#CCF)c3)N=C(N)N(C)C2=O)ccc1OC(F)F,fluoro_aromatic,480,0.7060807347297668,0.7042282223701477,-0.0018525123596191406,0.0018525123596191406,0.7060807347297668,0.7042282223701477,-0.0018525123596191406,3.086820000000002,2.9477200000000012,-0.1391000000000009
S(=O)(=O)(N(C)c1cc(cc(c1)COCC([NH3+])(Cc1ccccc1)COC)C(=O)NC(C)c1ccc(F)cc1)C,COCC([NH3+])(COCc1cc(C(=O)NC(C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)Cc1ccccc1,fluoro_aromatic,1467,0.3438500761985779,0.6946568489074707,0.3508067727088928,0.3508067727088928,0.3438500761985779,0.6946568489074707,0.3508067727088928,3.0989000000000013,2.9598000000000013,-0.1391
Clc1cc(cnc1)-c1cc2c(CC(CC23N=C(SC3)N)(C)C)cc1,CC1(C)Cc2ccc(-c3cccnc3)cc2C2(CSC(N)=N2)C1,aromatic_chloro,1174,0.18507477641105652,0.18458591401576996,-0.0004888623952865601,0.0004888623952865601,0.18507477641105652,0.18458591401576996,-0.0004888623952865601,4.631200000000003,3.977800000000002,-0.6534000000000013
Fc1ccc(OC)cc1-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,COc1cccc(-c2ccc3c(c2)C2(CC(C)(C)O3)N=C(N)N(C)C2=O)c1,fluoro_aromatic,693,0.7058027982711792,0.3656269311904907,-0.3401758670806885,0.3401758670806885,0.7058027982711792,0.3656269311904907,-0.3401758670806885,3.0444000000000013,2.9053000000000004,-0.1391000000000009
S1(=O)CC(Cc2cc(OC(COC)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(OC(C)C)ccc2)C1,COCC(Oc1cc(CC2CS(=O)CC([NH2+]Cc3cccc(OC(C)C)c3)C2O)ccc1N)C(F)(F)F,fluoro_aromatic,752,0.7061129808425903,0.7060412764549255,-7.170438766479492e-05,7.170438766479492e-05,0.7061129808425903,0.7060412764549255,-7.170438766479492e-05,2.5653000000000006,2.4262000000000006,-0.1391
S1(=O)(=O)N(C2(CC([NH+](CC2)Cc2cc(OC(C)C)ccc2)C)CN1c1cccnc1)c1cc(F)ccc1,CC(C)Oc1cccc(C[NH+]2CCC3(CC2C)CN(c2cccnc2)S(=O)(=O)N3c2ccccc2)c1,fluoro_aromatic,1223,0.1847509890794754,0.190766379237175,0.006015390157699585,0.006015390157699585,0.1847509890794754,0.190766379237175,0.006015390157699585,3.5855000000000032,3.4464000000000024,-0.1391000000000009
S1(=O)(=O)CC(Cc2cc(CCC(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,CC(C)(C)c1cccc(C[NH2+]C2CS(=O)(=O)CC(Cc3ccc(N)c(CCC(F)(F)F)c3)C2O)c1,fluoro_aromatic,830,0.706166684627533,0.7053346633911133,-0.0008320212364196777,0.0008320212364196777,0.706166684627533,0.7053346633911133,-0.0008320212364196777,3.2805000000000017,3.1414000000000017,-0.1391
S1(=O)(=O)N(C2(CC([NH+](CC2)Cc2cc(OC(C)C)ccc2)C)CN1CC)c1cc(F)ccc1,CCN1CC2(CC[NH+](Cc3cccc(OC(C)C)c3)C(C)C2)N(c2ccccc2)S1(=O)=O,fluoro_aromatic,1156,0.18407076597213745,0.18480698764324188,0.0007362216711044312,0.0007362216711044312,0.18407076597213745,0.18480698764324188,0.0007362216711044312,3.0058000000000016,2.8667000000000016,-0.1391
Clc1cc(cnc1)-c1cc(ccc1)C12N=C(OC1COCC2)N,NC1=NC2(c3cccc(-c4cccnc4)c3)CCOCC2O1,aromatic_chloro,1437,0.18462887406349182,0.18477587401866913,0.00014699995517730713,0.00014699995517730713,0.18462887406349182,0.18477587401866913,0.00014699995517730713,2.7311000000000005,2.0776999999999997,-0.6534000000000009
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CC1)c1cc(ccc1)C1OCCOC1,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cccc(C3COCCO3)c2)CC1,fluoro_aromatic,1244,0.1840219646692276,0.1866004914045334,0.002578526735305786,0.002578526735305786,0.1840219646692276,0.1866004914045334,0.002578526735305786,1.7134999999999996,1.5743999999999998,-0.13909999999999978
O=C([O-])[C@@H](\[NH+]=C\1/NC(Cc2c/1cccc2)(C)C)Cc1ccccc1,[H]C(Cc1ccccc1)/[NH+]=C1\NC(C)(C)Cc2ccccc21,carboxylic_acid,176,0.1850048452615738,0.18507204949855804,6.720423698425293e-05,6.720423698425293e-05,0.1850048452615738,0.18507204949855804,6.720423698425293e-05,-0.20069999999999655,1.6808,1.8814999999999966
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(C(O)CCC)C1=O)C)C(O)C1[NH2+]CC(O)C1,CCCC(O)C1CCN(C(C)C(=O)NC(Cc2cccc(F)c2)C(O)C2CC(O)C[NH2+]2)C1=O,fluoro_aromatic,621,0.7006401419639587,0.7056946754455566,0.0050545334815979,0.0050545334815979,0.7006401419639587,0.7056946754455566,0.0050545334815979,-0.5523999999999971,-0.6914999999999978,-0.13910000000000067
Clc1cc(ccc1)CN1C(=O)[C@](NC1=N)(CC(C)C)C,CC(C)C[C@@]1(C)NC(=N)N(Cc2ccccc2)C1=O,aromatic_chloro,193,0.1852956861257553,0.18536096811294556,6.528198719024658e-05,6.528198719024658e-05,0.1852956861257553,0.18536096811294556,6.528198719024658e-05,3.011370000000001,2.357970000000001,-0.6534000000000004
Clc1cc2CC(N=C(NC(Cc3ccccc3)c3ncccn3)c2cc1)(C)C,CC1(C)Cc2ccccc2C(NC(Cc2ccccc2)c2ncccn2)=N1,aromatic_chloro,1476,0.1846202164888382,0.1844005286693573,-0.000219687819480896,0.000219687819480896,0.1846202164888382,0.1844005286693573,-0.000219687819480896,4.784900000000003,4.1315000000000035,-0.6533999999999995
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CCC(NC(OC)=O)CC1)c1cc(ccc1)C(C)(C)C,COC(=O)NC1CCC([NH2+]CC(O)C(Cc2cccc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CC1,fluoro_aromatic,901,0.3069511353969574,0.4641753137111664,0.15722417831420898,0.15722417831420898,0.3069511353969574,0.4641753137111664,0.15722417831420898,3.427900000000003,3.288800000000003,-0.1391
Clc1cnc(nc1)C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1,CC1(c2cc(NC(=O)c3ncccn3)ccc2F)N=C(N)OCC1(F)F,aromatic_chloro,707,0.7058394551277161,0.7052412033081055,-0.0005982518196105957,0.0005982518196105957,0.7058394551277161,0.7052412033081055,-0.0005982518196105957,2.716800000000001,2.0633999999999997,-0.6534000000000013
Clc1cnc(nc1)C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1,CC1(c2cccc(NC(=O)c3ncc(Cl)cn3)c2)N=C(N)OCC1(F)F,fluoro_aromatic,707,0.7057707905769348,0.7049705386161804,-0.0008002519607543945,0.0008002519607543945,0.7057707905769348,0.7049705386161804,-0.0008002519607543945,2.716800000000001,2.577700000000001,-0.1391
Fc1ncccc1-c1cc(ccc1)C1(N=C(N)N(C)C1=O)c1ccc(OC(F)(F)F)cc1,CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3)c2)N=C1N,fluoro_aromatic,687,0.7060208320617676,0.18463782966136932,-0.5213830024003983,0.5213830024003983,0.7060208320617676,0.18463782966136932,-0.5213830024003983,3.816600000000002,3.677500000000002,-0.1391
Clc1ccc(nc1)C(=O)Nc1cc(ccc1)C1(N=C(N)CNC1=O)C,CC1(c2cccc(NC(=O)c3ccccn3)c2)N=C(N)CNC1=O,aromatic_chloro,953,0.18671901524066925,0.18480132520198822,-0.0019176900386810303,0.0019176900386810303,0.18671901524066925,0.18480132520198822,-0.0019176900386810303,1.6894999999999991,1.0360999999999998,-0.6533999999999993
